faultynum,faultid,committee size,proposer size,txsize (bytes),blocksize (K bytes),blocknum,successnum,latency,latencystd,throughput,throughputstd
0,,,,512,64,1852,1852,0.539738,0.0145578,231.5,0.527046
0,,,,512,128,1817,1817,0.55006,0.0155518,454.25,1.20761
0,,,,512,256,1752,1752,0.570707,0.0186152,876,3.16228
0,,,,512,512,999,999,1.00061,0.0238531,999,3.16228
0,,,,512,1024,499,499,2.00139,0.0337638,998,6.32456
0,,,,512,2048,249,249,4.00345,0.055999,996,12.6491
0,,,,512,4096,124,124,8.00957,0.107405,992,41.3118
0,,,,512,8192,99,99,10.0136,0.115332,990,31.6228
0,,,,512,16384,99,99,10.0136,0.115332,990,31.6228
,,,,,,,,,,,
10,"4,15,17,22,31,44,45,53,56,77",,,512,64,412,370,2.64748,6.40715,42.625,8.04609
10,"4,15,17,22,31,44,45,53,56,77",,,512,128,411,370,2.65726,6.40481,85.25,19.2011
10,"4,15,17,22,31,44,45,53,56,77",,,512,256,411,370,2.67639,6.39889,168.5,52.7599
10,"4,15,17,22,31,44,45,53,56,77",,,512,512,372,335,2.94384,6.31506,306,92.6403
10,"4,15,17,22,31,44,45,53,56,77",,,512,1024,283,254,3.93615,6.11123,462,186.536
10,"4,15,17,22,31,44,45,53,56,77",,,512,2048,219,197,5.05597,5.86859,768,210.65
10,"4,15,17,22,31,44,45,53,56,77",,,512,4096,123,111,8.96902,4.68324,880,135.974
10,"4,15,17,22,31,44,45,53,56,77",,,512,8192,98,88,11.2925,3.9565,891.044,95.7222
10,"4,15,17,22,31,44,45,53,56,77",,,512,16384,98,88,11.2925,3.9565,891.044,95.7222
,,,,,,,,,,,
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,64,220,167,5.988,10.5694,18,6.61963
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,128,217,164,6.09647,10.6381,35.25,12.3856
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,256,212,159,6.28841,10.7546,68,23.8281
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,512,200,149,6.70883,10.7531,127.621,65.2777
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,1024,186,141,7.02524,10.1693,238,88.6692
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,2048,167,127,7.68489,9.72138,474.549,129.045
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,4096,118,90,11.1096,8.35436,688,242.065
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,8192,97,71,14.0093,7.76879,726.43,138.345
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,16384,97,71,14.0093,7.76879,726.43,138.345
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",51,,512,64,464,422,2.35856,6.18135,49.5,22.6247
,,51,,512,128,464,422,2.36842,6.17926,98.75,45.4491
,,51,,512,256,462,421,2.32117,6.02712,196.5,95.599
,,51,,512,512,388,351,2.84661,6.23381,326,142.844
,,51,,512,1024,290,261,3.82994,6.13629,484,186.381
,,51,,512,2048,215,191,5.22741,6.3521,744,199.733
,,51,,512,4096,121,108,8.99573,4.94461,864,176.081
,,51,,512,8192,97,87,11.2896,4.25206,878.037,182.624
,,51,,512,16384,97,87,11.2896,4.25206,878.037,182.624
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,,512,64,464,422,2.35803,6.18137,49.5,22.6247
,,22,,512,128,464,422,2.3679,6.17929,98.75,45.2347
,,22,,512,256,462,421,2.32065,6.02714,196.5,95.599
,,22,,512,512,388,351,2.84657,6.23367,326,142.844
,,22,,512,1024,290,261,3.82992,6.13625,484,186.381
,,22,,512,2048,215,191,5.22728,6.35216,744,199.733
,,22,,512,4096,121,108,8.99573,4.94496,864,176.081
,,22,,512,8192,97,87,11.2897,4.252,878.046,182.627
,,22,,512,16384,97,87,11.2897,4.252,878.046,182.627
,,,,,,,,,,,
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",22,3,512,64,664,664,1.50111,2.93608,83,19.8624
