faultynum,faultid,committee size,proposer size,txsize (bytes),blocksize (K bytes),blocknum,successnum,latency,latencystd,throughput,throughputstd,success rate
0,,,,512,64,3024,3024,0.330582,0.00227405,378,0.645497,1
0,,,,512,128,2933,2933,0.340876,0.00461709,733.25,1.68737,1
0,,,,512,256,1999,1999,0.500182,0.00808191,999.5,1.58114,1
0,,,,512,512,999,999,1.0004,0.0127294,999,3.16228,1
0,,,,512,1024,499,499,2.00097,0.021682,998,6.32456,1
0,,,,512,2048,249,249,4.0026,0.041087,996,12.6491,1
0,,,,512,4096,124,124,8.00787,0.0876789,992,41.3118,1
0,,,,512,8192,99,99,10.0115,0.11461,990,31.6228,1
0,,,,512,16384,99,99,10.0115,0.11461,990,31.6228,1
,,,,,,,,,,,,
10,"4,15,17,22,31,44,45,53,56,77",,,512,64,445,400,2.48003,6.43785,45.375,12.5146,0.898876404
10,"4,15,17,22,31,44,45,53,56,77",,,512,128,445,400,2.48964,6.43512,90.75,25.0291,0.898876404
10,"4,15,17,22,31,44,45,53,56,77",,,512,256,433,390,2.55458,6.34732,177.5,55.4902,0.900692841
10,"4,15,17,22,31,44,45,53,56,77",,,512,512,374,336,2.97425,6.31711,306,96.2866,0.898395722
10,"4,15,17,22,31,44,45,53,56,77",,,512,1024,285,256,3.89881,6.02818,466,177.15,0.898245614
10,"4,15,17,22,31,44,45,53,56,77",,,512,2048,220,198,5.03575,5.79558,772,219.939,0.9
10,"4,15,17,22,31,44,45,53,56,77",,,512,4096,123,111,9.00816,4.57839,880,135.974,0.902439024
10,"4,15,17,22,31,44,45,53,56,77",,,512,8192,98,88,11.2682,3.89033,889.318,96.8001,0.897959184
10,"4,15,17,22,31,44,45,53,56,77",,,512,16384,98,88,11.2682,3.89033,889.318,96.8001,0.897959184
,,,,,,,,,,,,#DIV/0!
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,64,228,174,5.67419,10.4583,18.75,7.81736,0.763157895
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,128,228,174,5.68303,10.4563,37.5,15.6347,0.763157895
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,256,223,170,5.7961,10.4467,73.5,28.1908,0.762331839
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,512,201,150,6.60608,10.6469,126.91,53.5817,0.746268657
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,1024,186,141,6.96257,10.0949,238,76.8548,0.758064516
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,2048,168,127,7.61046,9.65981,473.917,144.247,0.755952381
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,4096,122,94,10.6373,8.36017,744,235.665,0.770491803
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,8192,97,71,13.9552,7.68242,723.872,164.704,0.731958763
25,"2,7,9,10,21,23,25,29,30,31,38,51,53,57,61,62,64,65,66,69,71,76,96,97,99",,,512,16384,97,71,13.9552,7.68242,723.872,164.704,0.731958763
,,,,,,,,,,,,#DIV/0!
100,"781,233,244,915,647,382,541,958,0,981,903,357,844,912,297,823,713,763,166,867,840,936,27,345,340,437,470,830,570,214,181,315,687,131,36,544,398,325,858,622,128,976,681,212,971,749,7,686,762,946,787,740,246,425,278,707,424,985,431,117,798,252,531,279,313,119,594,723,104,205,987,634,935,873,106,864,826,369,399,448,261,430,84,874,708,534,43,239,659,615,848,689,391,655,364,445,22,349,918,834",51,,512,64,475,432,2.31475,6.99225,49.5,25.875,0.909473684
,,51,,512,128,464,422,2.32429,7.01141,96.75,52.1623,0.909482759
,,51,,512,256,449,409,2.44437,6.81665,187.5,95.3721,0.91091314
,,51,,512,512,359,325,3.04046,7.05542,297,158.328,0.905292479
,,51,,512,1024,257,229,4.29174,7.30769,412,189.315,0.891050584
,,51,,512,2048,197,175,5.69448,7.45229,668,266.7,0.888324873
,,51,,512,4096,120,108,9.25811,5.66361,848,181.647,0.9
